"","timeFrom","timeMid","timeTo","timeSpan","centroidVelocity","centroidLong","centroidLat"
"1",1980,1982.5,1985,5,0.183093037512255,-104.029834351591,33.0688519090894
"2",1985,1987.5,1990,5,0.261429508142359,-105.109258544748,33.8060615837514
"3",1990,1992.5,1995,5,0.0939949438394818,-104.712621261318,33.5539602111302
"4",1995,1997.5,2000,5,0.129704261867069,-104.064123477496,33.5594840721715
"5",2000,2002.5,2005,5,0.202828476522068,-105.002740792716,33.9435183255615
"6",2005,2007.5,2010,5,0.304300402913169,-103.502133343581,33.6922303156413
"7",2010,2012.5,2015,5,0.261642784061193,-104.766548007915,33.3565530630608
