"","rm","fc","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","1","L","rm.1_fc.L",0.747995161290323,NA,0.0285298819029556,0.0235898130417103,0.741382397660819,0.030942402817697,NA,NA,0.128654970760234,0.0590614323880823,0.0105263157894737,0.0235375576578925,1958.80221593915,50.6505128391275,9.67233167962355e-12,6
"2","2","L","rm.2_fc.L",0.747889784946237,NA,0.0292924171961435,0.0226966644773754,0.74133514619883,0.0312245065709587,NA,NA,0.128070175438596,0.0586401303574754,0.0105263157894737,0.0235375576578925,1959.11231983989,50.960616739864,8.28310133074313e-12,6
"3","3","L","rm.3_fc.L",0.747758602150538,NA,0.0299962254464991,0.0219583127909306,0.74119701754386,0.0315511264371305,NA,NA,0.13859649122807,0.0582451443180759,0.0105263157894737,0.0235375576578925,1959.57148733363,51.419784233603,6.58394235652282e-12,6
"4","1","Q","rm.1_fc.Q",0.765884408602151,NA,0.0329219813813814,0.0304669510583033,0.761263713450292,0.0381168957474859,NA,NA,0.11812865497076,0.0947160832068301,0.0105263157894737,0.0235375576578925,1942.54936485565,34.3976617556182,3.27184673174791e-08,5
"5","2","Q","rm.2_fc.Q",0.765141397849462,NA,0.0334412419788209,0.0294987683817197,0.760825614035088,0.0382608062443367,NA,NA,0.11812865497076,0.0947160832068301,0.0105263157894737,0.0235375576578925,1943.04498830784,34.8932852078167,2.55369887959289e-08,5
"6","3","Q","rm.3_fc.Q",0.764058602150538,NA,0.0338785849217639,0.0288521788645318,0.759423040935672,0.0382298009331533,NA,NA,0.11812865497076,0.0947160832068301,0.0105263157894737,0.0235375576578925,1943.75570273019,35.6039996301658,1.78994633327786e-08,5
"7","1","LQ","rm.1_fc.LQ",0.821045698924731,NA,0.0334665704441283,0.0301219736611276,0.808896081871345,0.0339229381424539,NA,NA,0.159649122807018,0.0969244218899541,0.0105263157894737,0.0235375576578925,1908.15170310003,0,0.964162634247759,9
"8","2","LQ","rm.2_fc.LQ",0.807194086021505,NA,0.0297307508139719,0.0289323794597982,0.789520116959064,0.0348727324895872,NA,NA,0.13859649122807,0.0961717198151982,0.0210526315789474,0.047075115315785,1914.81540679282,6.66370369278889,0.034446525694713,7
"9","3","LQ","rm.3_fc.LQ",0.797241397849462,NA,0.0339234967599178,0.0293012288532373,0.76988485380117,0.0380932950490951,NA,NA,0.11812865497076,0.0947160832068301,0.0105263157894737,0.0235375576578925,1921.23451677872,13.0828136786906,0.00139076387806908,6
