"","rm","fc","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","1","L","rm.1_fc.L",0.760478282828283,NA,0.042329347601599,0.0314620471136962,0.745580263157895,0.0440666972993504,NA,NA,0.101578947368421,0.0629272102910486,0.0105263157894737,0.0235375576578925,2099.07102126042,40.7697373153001,1.40189850855383e-09,7
"2","2","L","rm.2_fc.L",0.760471212121212,NA,0.042366390739507,0.0299707747172068,0.745209210526316,0.0431451557607148,NA,NA,0.101578947368421,0.0629272102910486,0,0,2099.26788734811,40.9666034029942,1.27047945350263e-09,7
"3","3","L","rm.3_fc.L",0.76040404040404,NA,0.042250164556962,0.0282579863781688,0.744597,0.0420196675082038,NA,NA,0.101578947368421,0.0629272102910486,0.01,0.0223606797749979,2099.63499584198,41.3337118968652,1.05742859239283e-09,7
"4","1","Q","rm.1_fc.Q",0.769191414141414,NA,0.0446854203864091,0.0200797233407548,0.754978263157895,0.0431983780452576,NA,NA,0.122105263157895,0.0862740592321869,0.0105263157894737,0.0235375576578925,2098.85458139942,40.5532974543016,1.562125393956e-09,6
"5","2","Q","rm.2_fc.Q",0.769619696969697,NA,0.043262043637575,0.0184672732391827,0.755014684210526,0.0402752830265292,NA,NA,0.121578947368421,0.0766869377833852,0.0105263157894737,0.0235375576578925,2099.18402866527,40.8827447201484,1.32488238981232e-09,6
"6","3","Q","rm.3_fc.Q",0.769411616161616,NA,0.0412859695203198,0.0169928992665602,0.754373052631579,0.036904411008116,NA,NA,0.121578947368421,0.0766869377833852,0.0105263157894737,0.0235375576578925,2099.75863831115,41.4573543660367,9.940367214976e-10,6
"7","1","LQ","rm.1_fc.LQ",0.809234848484849,NA,0.0324185473017988,0.0229503374306434,0.795660421052632,0.0322219186325102,NA,NA,0.121578947368421,0.0844445760637875,0.01,0.0223606797749979,2058.30128394512,0,0.999430378516497,10
"8","2","LQ","rm.2_fc.LQ",0.803401515151515,NA,0.0424778382744837,0.0211425274687377,0.775396842105263,0.0396518034765185,NA,NA,0.111052631578947,0.0545822716340324,0.0205263157894737,0.028122210541879,2073.24355254756,14.9422686024427,0.000568957917654578,11
"9","3","LQ","rm.3_fc.LQ",0.791210606060606,NA,0.0455621010992672,0.0202727208759655,0.764958421052632,0.0418296676300962,NA,NA,0.131052631578947,0.056361270370565,0.0105263157894737,0.0235375576578925,2086.77449168283,28.4732077377162,6.55954996903027e-07,11
