"","x"
"1","evpsoil_avg"
"2","evptrns_avg"
"3","frwlt_avg"
"4","hflux_avg"
"5","prevtot_avg"
"6","qv2m_avg"
"7","swgnt_avg"
"8","t2m_avg"
"9","ts_avg"
"10","tsurf_avg"
