"","rm","fc","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","1","L","rm.1_fc.L",0.7257215,NA,0.032268375,0.0186847495498919,0.7178695,0.0311690001945041,NA,NA,0.09,0.0741619848709566,0.01,0.0223606797749979,2123.9427188474,51.0935766410043,8.02867875384436e-12,5
"2","2","L","rm.2_fc.L",0.7256245,NA,0.032007625,0.017779256354624,0.7179355,0.0306683903535057,NA,NA,0.09,0.0741619848709566,0.01,0.0223606797749979,2124.32052462861,51.4713824222104,6.6466773625109e-12,5
"3","3","L","rm.3_fc.L",0.7254645,NA,0.031811,0.0171385184587507,0.7178415,0.0303145411993155,NA,NA,0.1,0.0935414346693485,0.01,0.0223606797749979,2124.83064818836,51.9815059819598,5.15030175000832e-12,5
"4","1","Q","rm.1_fc.Q",0.7653605,NA,0.03842775,0.0187669923658784,0.7598105,0.0364943301846328,NA,NA,0.14,0.0961769203083567,0.01,0.0223606797749979,2096.24261393221,23.3934717258185,8.31084987751318e-06,6
"5","2","Q","rm.2_fc.Q",0.7639565,NA,0.03845475,0.0173081839532001,0.7581205,0.0357811277683502,NA,NA,0.13,0.103682206766639,0.01,0.0223606797749979,2096.93612483788,24.0869826314815,5.8755896589152e-06,6
"6","3","Q","rm.3_fc.Q",0.762552,NA,0.0382255,0.0158948529613854,0.7563035,0.0348994081522166,NA,NA,0.13,0.115108644332213,0.01,0.0223606797749979,2097.88979570437,25.0406534979734,3.64724099222594e-06,6
"7","1","LQ","rm.1_fc.LQ",0.8088905,NA,0.044217625,0.0273114896423534,0.7914675,0.0440793780794943,NA,NA,0.16,0.0961769203083567,0.03,0.0447213595499958,2072.8491422064,0,0.998787915413804,11
"8","2","LQ","rm.2_fc.LQ",0.7885315,NA,0.0457255,0.0179615423663918,0.7738325,0.0396107518153216,NA,NA,0.12,0.103682206766639,0.03,0.0273861278752583,2093.49711925514,20.6479770487413,3.27960871425272e-05,11
"9","3","LQ","rm.3_fc.LQ",0.7848555,NA,0.04315875,0.014979412401641,0.7659455,0.0369551403477919,NA,NA,0.12,0.103682206766639,0.02,0.0447213595499958,2086.36288041254,13.5137382061444,0.00116145479869903,7
