"Equal.training.sensitivity.and.specificity.cumulative.threshold",30.3324
"Equal.training.sensitivity.and.specificity.Cloglog.threshold",0.496
"Equal.training.sensitivity.and.specificity.area",0.2888
"Equal.training.sensitivity.and.specificity.training.omission",0.29
