"","rm","fc","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","1","L","rm.1_fc.L",0.749721,NA,0.0298585000000001,0.0254630653188042,0.7400315,0.0312960388168375,NA,NA,0.1,0.05,0.02,0.0273861278752583,2111.81090295948,73.1946067032743,1.26792737598284e-16,6
"2","2","L","rm.2_fc.L",0.7481165,NA,0.029129,0.0271146781289962,0.7377735,0.0317397143083393,NA,NA,0.09,0.0418330013267038,0.01,0.0223606797749979,2113.4037434811,74.7874472248861,5.71759585575809e-17,6
"3","3","L","rm.3_fc.L",0.7457345,NA,0.02995425,0.0258718462427368,0.7352955,0.0318659055359329,NA,NA,0.11,0.0223606797749979,0.02,0.0447213595499958,2115.58883504752,76.9725387913084,1.9174623687243e-17,6
"4","1","Q","rm.1_fc.Q",0.6913275,NA,0.028745,0.0228762632549071,0.6777935,0.0278947416975852,NA,NA,0.12,0.0447213595499958,0.01,0.0223606797749979,2144.15822913297,105.541932876764,1.19939365803867e-23,5
"5","2","Q","rm.2_fc.Q",0.6934045,NA,0.02837875,0.0221812692703847,0.6811995,0.02785781731624,NA,NA,0.13,0.0570087712549569,0.01,0.0223606797749979,2145.03846409744,106.422167841234,7.72362454795404e-24,5
"6","3","Q","rm.3_fc.Q",0.6959445,NA,0.028418,0.0211855862493008,0.6852935,0.0285572624629008,NA,NA,0.13,0.0570087712549569,0.01,0.0223606797749979,2146.31451355318,107.69821729697,4.08066117106056e-24,5
"7","1","LQ","rm.1_fc.LQ",0.8424855,NA,0.025524,0.0190477304596653,0.8265115,0.0229632117880971,NA,NA,0.15,0.0935414346693485,0.03,0.0447213595499958,2038.61629625621,0,0.993347669021322,9
"8","2","LQ","rm.2_fc.LQ",0.8341045,NA,0.01858625,0.0201541321028794,0.8152255,0.0169427649935009,NA,NA,0.13,0.0758287544405155,0.02,0.0447213595499958,2048.63519281908,10.0188965628729,0.00663018323579988,8
"9","3","LQ","rm.3_fc.LQ",0.8255205,NA,0.016720875,0.0178528252786411,0.8052245,0.0164430961386534,NA,NA,0.1,0.0866025403784439,0.01,0.0223606797749979,2060.03849708016,21.4222008239474,2.21477428781754e-05,8
