"","x"
"1","cldtot_avg"
"2","evpintr_avg"
"3","hflux_avg"
"4","lai_avg"
"5","qinfil_avg"
"6","qv2m_avg"
"7","swgnt_avg"
"8","t2m_avg"
"9","ts_avg"
"10","tsurf_avg"
