"","Variables","VIF"
"1","cldtot_avg",1.99445931475816
"2","hflux_avg",7.66123860476103
"3","lai_avg",3.0805329113893
"4","qinfil_avg",7.39438547450524
"5","swgnt_avg",6.28121071833815
"6","t2m_avg",2.9908929922177
