species,longitude,latitude
Cassins_Sparrow,-100.91667,34.91667
Cassins_Sparrow,-99.426865,27.09333
Cassins_Sparrow,-104.667816,35.03571
Cassins_Sparrow,-110.33363,31.62789
Cassins_Sparrow,-106.80944,32.29412
Cassins_Sparrow,-109.72473,31.769491
Cassins_Sparrow,-100.94042,29.359985
Cassins_Sparrow,-98.82671,26.372364
Cassins_Sparrow,-100.27136,25.545462
Cassins_Sparrow,-97.55864,26.495676
Cassins_Sparrow,-107.29282,32.61335
Cassins_Sparrow,-110.92759,31.35797
Cassins_Sparrow,-106.34615,31.94429
Cassins_Sparrow,-99.8822,32.23371
Cassins_Sparrow,-109.05321,32.084194
Cassins_Sparrow,-98.06967,30.438425
Cassins_Sparrow,-104.150604,30.762783
Cassins_Sparrow,-118.08465,37.6786
Cassins_Sparrow,-101.67126,34.965107
Cassins_Sparrow,-104.7625,39.943054
Cassins_Sparrow,-104.39981,33.45121
Cassins_Sparrow,-98.619484,31.270481
Cassins_Sparrow,-97.47136,32.634167
Cassins_Sparrow,-104.70446,38.79625
Cassins_Sparrow,-96.81882,28.240393
Cassins_Sparrow,-105.96452,34.515392
Cassins_Sparrow,-104.0628,30.5336
Cassins_Sparrow,-103.08352,29.487425
Cassins_Sparrow,-82.548416,41.987957
Cassins_Sparrow,-96.266846,29.668924
Cassins_Sparrow,-104.040001,40.419998
Cassins_Sparrow,-102.5381,37.6359
Cassins_Sparrow,-104.15833,30.944635
Cassins_Sparrow,-102.37404,31.779976
Cassins_Sparrow,-97.78931,27.221586
Cassins_Sparrow,-105.15839,35.548847
Cassins_Sparrow,-105.46764,34.65011
Cassins_Sparrow,-104.83128,31.05467
Cassins_Sparrow,-103.40353,39.802887
Cassins_Sparrow,-98.383545,26.173948
Cassins_Sparrow,-99.843535,36.697363
Cassins_Sparrow,-100.4533,29.61154
Cassins_Sparrow,-101.672745,30.678036
Cassins_Sparrow,-97.52368,27.858913
Cassins_Sparrow,-110.26446,31.422804
Cassins_Sparrow,-108.592846,34.5306
Cassins_Sparrow,-102.36991,39.7644
Cassins_Sparrow,-99.15179,26.589294
Cassins_Sparrow,-109.0595,31.8145
Cassins_Sparrow,-101.76147,37.095955
Cassins_Sparrow,-109.06949,31.34357
Cassins_Sparrow,-118.050735,33.702652
Cassins_Sparrow,-104.76927,35.651745
Cassins_Sparrow,-80.04833,42.54842
Cassins_Sparrow,-102.15105,39.62728
Cassins_Sparrow,-96.80116,28.3108
Cassins_Sparrow,-102.88247,36.842365
Cassins_Sparrow,-104.39075,40.683243
Cassins_Sparrow,-106.611156,31.846795
Cassins_Sparrow,-82.50962,41.92198
Cassins_Sparrow,-102.892456,30.87276
Cassins_Sparrow,-101.83083,35.22194
Cassins_Sparrow,-99.57824,29.41105
Cassins_Sparrow,-99.55455,24.23165
Cassins_Sparrow,-96.75111,29.94667
Cassins_Sparrow,-98.491905,29.304047
Cassins_Sparrow,-98.1696,26.3857
Cassins_Sparrow,-104.47411,35.980698
Cassins_Sparrow,-120.51611,34.57577
Cassins_Sparrow,-106.04676,31.921429
Cassins_Sparrow,-104.28842,32.44886
Cassins_Sparrow,-102.95571,29.180923
Cassins_Sparrow,-104.59724,32.3117
Cassins_Sparrow,-110.23583,31.559961
Cassins_Sparrow,-103.139046,29.615028
Cassins_Sparrow,-97.78498,29.12835
Cassins_Sparrow,-104.94703,38.37013
Cassins_Sparrow,-104.006836,30.31061
Cassins_Sparrow,-106.01524,33.069313
Cassins_Sparrow,-104.5125,34.784924
Cassins_Sparrow,-100.41856,29.304888
Cassins_Sparrow,-103.93472,30.596272
Cassins_Sparrow,-101.60771,40.0211
Cassins_Sparrow,-100.32358,29.280691
Cassins_Sparrow,-106.651134,35.08449
Cassins_Sparrow,-99.782394,29.91263
Cassins_Sparrow,-103.340385,33.642513
Cassins_Sparrow,-111.23825,31.418026
Cassins_Sparrow,-99.934296,31.76656
Cassins_Sparrow,-99.712105,29.495043
Cassins_Sparrow,-110.10406,31.376461
Cassins_Sparrow,-99.27141,26.90722
Cassins_Sparrow,-110.66025,31.678465
Cassins_Sparrow,-97.36492,26.22597
Cassins_Sparrow,-104.43736,32.17692
Cassins_Sparrow,-102.87207,36.762497
Cassins_Sparrow,-97.74025,30.274145
Cassins_Sparrow,-98.6326,29.6381
Cassins_Sparrow,-104.8707,31.9001
Cassins_Sparrow,-103.88271,30.27533
