species,longitude,latitude
Cassins_Sparrow,-97.49746,25.90176
Cassins_Sparrow,-103.787508,30.688645
Cassins_Sparrow,-101.43767,41.19687
Cassins_Sparrow,-100.305725,32.264515
Cassins_Sparrow,-100.41836,29.31053
Cassins_Sparrow,-73.50096,40.595184
Cassins_Sparrow,-99.78594,29.20962
Cassins_Sparrow,-99.255295,28.43428
Cassins_Sparrow,-99.16723,29.30586
Cassins_Sparrow,-103.2356,33.54223
Cassins_Sparrow,-105.152435,40.411697
Cassins_Sparrow,-99.70711,29.498182
Cassins_Sparrow,-102.51549,38.442295
Cassins_Sparrow,-106.571534,31.852304
Cassins_Sparrow,-104.097,30.61738
Cassins_Sparrow,-103.23844,36.428684
Cassins_Sparrow,-101.09808,33.97683
Cassins_Sparrow,-103.26635,29.216652
Cassins_Sparrow,-100.52421,32.00848
Cassins_Sparrow,-101.80814,30.684286
Cassins_Sparrow,-104.5699,32.1326
Cassins_Sparrow,-118.620094,34.51942
Cassins_Sparrow,-118.59084,33.020424
Cassins_Sparrow,-98.47048,34.20282
Cassins_Sparrow,-99.0923,26.4924
Cassins_Sparrow,-98.939476,34.28468
Cassins_Sparrow,-97.76832,26.596985
Cassins_Sparrow,-98.13514,26.0813
Cassins_Sparrow,-105.650024,34.98247
Cassins_Sparrow,-97.61507,27.034994
Cassins_Sparrow,-104.63199,40.28337
Cassins_Sparrow,-97.44535,30.402061
Cassins_Sparrow,-97.407875,26.345806
Cassins_Sparrow,-100.36938,32.381123
Cassins_Sparrow,-102.792206,38.76431
Cassins_Sparrow,-99.826546,32.42071
Cassins_Sparrow,-105.05573,39.46297
Cassins_Sparrow,-106.97882,33.734444
Cassins_Sparrow,-102.68131,31.586725
Cassins_Sparrow,-101.31858,29.693571
Cassins_Sparrow,-99.2039,26.6729
Cassins_Sparrow,-98.44265,31.022194
Cassins_Sparrow,-107.489204,32.61523
Cassins_Sparrow,-100.4533,29.61154
Cassins_Sparrow,-109.949646,31.175026
Cassins_Sparrow,-110.840034,31.471333
Cassins_Sparrow,-100.19467,29.420937
Cassins_Sparrow,-98.13519,26.290583
Cassins_Sparrow,-103.35902,33.701557
Cassins_Sparrow,-98.77327,27.139812
Cassins_Sparrow,-111.32429,31.573526
Cassins_Sparrow,-98.726425,31.195988
Cassins_Sparrow,-102.36283,37.05929
Cassins_Sparrow,-99.476364,29.466482
Cassins_Sparrow,-102.001495,37.526943
Cassins_Sparrow,-99.25263,24.645456
Cassins_Sparrow,-102.63153,33.363796
Cassins_Sparrow,-98.33944,28.471727
Cassins_Sparrow,-99.1294,37.487206
Cassins_Sparrow,-111.63026,31.781494
Cassins_Sparrow,-101.48731,32.229458
Cassins_Sparrow,-98.74245,31.4437
Cassins_Sparrow,-102.01973,33.87599
Cassins_Sparrow,-98.07831,26.523767
Cassins_Sparrow,-101.91911,21.188301
Cassins_Sparrow,-104.25894,36.21794
Cassins_Sparrow,-98.12184,28.417927
Cassins_Sparrow,-98.16852,28.3068
Cassins_Sparrow,-107.85587,31.883934
Cassins_Sparrow,-104.54355,36.54003
Cassins_Sparrow,-99.18349,28.913668
Cassins_Sparrow,-98.96412,37.07023
Cassins_Sparrow,-99.49562,32.587746
Cassins_Sparrow,-83.504903,10.547022
Cassins_Sparrow,-104.37733,30.489727
Cassins_Sparrow,-101.859566,37.11354
Cassins_Sparrow,-103.14508,32.842033
Cassins_Sparrow,-110.79443,32.33005
Cassins_Sparrow,-97.65358,29.074898
Cassins_Sparrow,-99.68913,35.618664
Cassins_Sparrow,-101.196915,33.97948
Cassins_Sparrow,-110.18,31.6572
Cassins_Sparrow,-110.39133,31.80913
Cassins_Sparrow,-101.73146,30.450377
Cassins_Sparrow,-97.49753,26.503838
Cassins_Sparrow,-97.95584,28.110611
Cassins_Sparrow,-104.056694,30.239138
Cassins_Sparrow,-104.51448,33.35893
Cassins_Sparrow,-102.44047,30.949347
Cassins_Sparrow,-101.58405,40.42898
Cassins_Sparrow,-102.59797,37.105137
Cassins_Sparrow,-108.86376,31.620253
Cassins_Sparrow,-107.9387,31.94284
Cassins_Sparrow,-98.20899,27.653872
Cassins_Sparrow,-98.00174,30.51798
Cassins_Sparrow,-116.41996,43.49179
Cassins_Sparrow,-109.17445,31.9307
Cassins_Sparrow,-98.19294,30.08724
Cassins_Sparrow,-104.43801,38.48682
Cassins_Sparrow,-102.75161,33.95468
