species,longitude,latitude
Cassins_Sparrow,-104.67317,38.607086
Cassins_Sparrow,-109.438934,31.483137
Cassins_Sparrow,-101.774765,37.153545
Cassins_Sparrow,-103.01688,37.13489
Cassins_Sparrow,-111.84058,28.831318
Cassins_Sparrow,-110.21229,31.899618
Cassins_Sparrow,-97.93502,28.018574
Cassins_Sparrow,-97.60408,30.209234
Cassins_Sparrow,-99.0923,26.4924
Cassins_Sparrow,-102.6408,39.143044
Cassins_Sparrow,-100.46335,31.43877
Cassins_Sparrow,-96.9225,28.75167
Cassins_Sparrow,-115.0173,35.124542
Cassins_Sparrow,-98.22095,28.605095
Cassins_Sparrow,-103.94412,37.665096
Cassins_Sparrow,-110.18,31.6572
Cassins_Sparrow,-110.27482,31.711329
Cassins_Sparrow,-110.63657,31.787846
Cassins_Sparrow,-110.302246,31.988432
Cassins_Sparrow,-103.11287,29.260643
Cassins_Sparrow,-104.68829,30.013628
Cassins_Sparrow,-106.50616,31.929195
Cassins_Sparrow,-104.358376,38.124382
Cassins_Sparrow,-103.10257,36.42294
Cassins_Sparrow,-111.4348,31.6618
Cassins_Sparrow,-106.74634,32.532516
Cassins_Sparrow,-98.68546,29.55845
Cassins_Sparrow,-97.90934,27.51832
Cassins_Sparrow,-104.55,41.066667
Cassins_Sparrow,-102.76234,37.01723
Cassins_Sparrow,-104.10376,42.555202
Cassins_Sparrow,-97.416405,28.112982
Cassins_Sparrow,-97.82339,31.241648
Cassins_Sparrow,-98.132545,26.28874
Cassins_Sparrow,-102.399574,38.39774
Cassins_Sparrow,-103.61685,35.99734
Cassins_Sparrow,-98.701256,30.403824
Cassins_Sparrow,-105.90572,32.519756
Cassins_Sparrow,-102.80645,40.83784
Cassins_Sparrow,-101.31858,29.693571
Cassins_Sparrow,-107.305954,32.8669
Cassins_Sparrow,-97.559456,31.144361
Cassins_Sparrow,-104.5372,32.1501
Cassins_Sparrow,-102.85072,31.278166
Cassins_Sparrow,-102.1836379,26.8466862
Cassins_Sparrow,-103.69926,35.18252
Cassins_Sparrow,-110.355415,31.467258
Cassins_Sparrow,-102.400894,38.519386
Cassins_Sparrow,-110.78685,31.79741
Cassins_Sparrow,-103.57994,30.16475
Cassins_Sparrow,-97.331055,25.984125
Cassins_Sparrow,-101.672745,30.678036
Cassins_Sparrow,-104.196884,37.1363
Cassins_Sparrow,-109.04783,31.824787
Cassins_Sparrow,-97.81472,27.298332
Cassins_Sparrow,-102.40657,38.885223
Cassins_Sparrow,-105.84178,35.34406
Cassins_Sparrow,-102.66641,38.787796
Cassins_Sparrow,-103.3697,29.2787
Cassins_Sparrow,-101.56031,29.809212
Cassins_Sparrow,-102.657585,38.64299
Cassins_Sparrow,-103.21871,36.42533
Cassins_Sparrow,-109.15608,27.099783
Cassins_Sparrow,-103.927284,30.598463
Cassins_Sparrow,-105.848015,32.58269
Cassins_Sparrow,-108.64055,31.502111
Cassins_Sparrow,-101.741229,37.058477
Cassins_Sparrow,-112.02614,28.862762
Cassins_Sparrow,-102.69175,29.714096
Cassins_Sparrow,-103.89872,37.913883
Cassins_Sparrow,-102.902985,38.936924
Cassins_Sparrow,-103.2676,29.3002
Cassins_Sparrow,-101.2188,36.6373
Cassins_Sparrow,-99.25074,26.881247
Cassins_Sparrow,-103.20486,32.772083
Cassins_Sparrow,-112.03043,33.24134
Cassins_Sparrow,-110.8543,31.3769
Cassins_Sparrow,-103.01726,38.07296
Cassins_Sparrow,-102.90482,38.778423
Cassins_Sparrow,-98.93948,23.938173
Cassins_Sparrow,-104.39981,33.45121
Cassins_Sparrow,-102.795334,38.900703
Cassins_Sparrow,-98.25124,28.472576
Cassins_Sparrow,-102.1138,34.91015
Cassins_Sparrow,-104.88508,36.11132
Cassins_Sparrow,-106.252174,35.59241
Cassins_Sparrow,-103.25,38.25
Cassins_Sparrow,-103.91621,37.1647
Cassins_Sparrow,-103.63234,33.940468
Cassins_Sparrow,-104.96068,34.33372
Cassins_Sparrow,-102.289665,38.282307
Cassins_Sparrow,-98.49359,29.42413
Cassins_Sparrow,-99.576256,29.815508
Cassins_Sparrow,-98.13572,27.015415
Cassins_Sparrow,-99.77515,36.202343
Cassins_Sparrow,-108.32245,31.916908
Cassins_Sparrow,-100.98118,25.060566
Cassins_Sparrow,-98.491905,29.304047
Cassins_Sparrow,-104.01291,40.80163
Cassins_Sparrow,-97.82557,27.971966
