species,longitude,latitude
Cassins_Sparrow,-104.01291,40.80163
Cassins_Sparrow,-97.38904,27.641365
Cassins_Sparrow,-99.775085,30.488918
Cassins_Sparrow,-110.70689,31.552244
Cassins_Sparrow,-96.79198,28.249891
Cassins_Sparrow,-104.866615,31.964441
Cassins_Sparrow,-106.44919,32.696236
Cassins_Sparrow,-99.1322,30.0015
Cassins_Sparrow,-102.18437,28.585442
Cassins_Sparrow,-99.28958,31.492506
Cassins_Sparrow,-98.51681,28.905022
Cassins_Sparrow,-106.4972,31.8895
Cassins_Sparrow,-110.1866,31.7198
Cassins_Sparrow,-109.1408,31.9136
Cassins_Sparrow,-99.37495,31.495579
Cassins_Sparrow,-110.51038,31.59073
Cassins_Sparrow,-105.92441,33.679646
Cassins_Sparrow,-97.05447,28.0206
Cassins_Sparrow,-109.68843,31.72897
Cassins_Sparrow,-109.133934,31.688883
Cassins_Sparrow,-99.145294,26.583614
Cassins_Sparrow,-100.149994,29.03336
Cassins_Sparrow,-104.757385,38.08219
Cassins_Sparrow,-109.05321,32.084194
Cassins_Sparrow,-110.41968,31.69593
Cassins_Sparrow,-97.63645,30.0989
Cassins_Sparrow,-110.507866,32.86308
Cassins_Sparrow,-97.77072,26.787653
Cassins_Sparrow,-97.72849,30.314358
Cassins_Sparrow,-97.85552,27.477482
Cassins_Sparrow,-99.36756,30.011808
Cassins_Sparrow,-104.5515,38.331177
Cassins_Sparrow,-110.8023,31.508009
Cassins_Sparrow,-110.89752,31.87395
Cassins_Sparrow,-104.69438,38.748234
Cassins_Sparrow,-104.095776,32.286234
Cassins_Sparrow,-86.482346,41.016422
Cassins_Sparrow,-110.71975,32.18075
Cassins_Sparrow,-102.508385,35.25925
Cassins_Sparrow,-99.7853,29.20934
Cassins_Sparrow,-98.513214,28.236952
Cassins_Sparrow,-101.67126,34.965107
Cassins_Sparrow,-97.416176,25.940678
Cassins_Sparrow,-102.36283,37.05929
Cassins_Sparrow,-98.21241,32.93973
Cassins_Sparrow,-104.82459,38.3125
Cassins_Sparrow,-110.84952,31.42068
Cassins_Sparrow,-99.45837,31.527958
Cassins_Sparrow,-110.9529,31.294909
Cassins_Sparrow,-98.49376,26.2562
Cassins_Sparrow,-103.7193,30.9618
Cassins_Sparrow,-99.8037,28.476742
Cassins_Sparrow,-101.672745,30.678036
Cassins_Sparrow,-101.80824,37.12419
Cassins_Sparrow,-100.32358,29.280691
Cassins_Sparrow,-110.34668,31.520063
Cassins_Sparrow,-110.81194,31.79744
Cassins_Sparrow,-99.94812,29.014145
Cassins_Sparrow,-110.11395,31.421623
Cassins_Sparrow,-101.670044,35.20682
Cassins_Sparrow,-106.04676,31.921429
Cassins_Sparrow,-104.39981,33.45121
Cassins_Sparrow,-110.89758,31.741087
Cassins_Sparrow,-101.20039,30.71017
Cassins_Sparrow,-97.79274,27.13313
Cassins_Sparrow,-98.1813,26.155283
Cassins_Sparrow,-98.149536,26.073206
Cassins_Sparrow,-97.490486,25.911388
Cassins_Sparrow,-103.89387,30.586828
Cassins_Sparrow,-103.305336,29.275457
Cassins_Sparrow,-97.8226,30.309383
Cassins_Sparrow,-110.95575,31.389677
Cassins_Sparrow,-98.819885,30.49588
Cassins_Sparrow,-99.49,24.475
Cassins_Sparrow,-99.2292,28.990725
Cassins_Sparrow,-101.06687,34.417202
Cassins_Sparrow,-109.06949,31.34357
Cassins_Sparrow,-87.61185,41.892887
Cassins_Sparrow,-124.09532,41.010475
Cassins_Sparrow,-100.21557,36.723957
Cassins_Sparrow,-110.926479,32.221743
Cassins_Sparrow,-104.737305,38.364407
Cassins_Sparrow,-103.088646,37.139397
Cassins_Sparrow,-110.76786,31.714113
Cassins_Sparrow,-102.81915,36.96774
Cassins_Sparrow,-119.02783,37.94183
Cassins_Sparrow,-100.55928,34.753727
Cassins_Sparrow,-111.46261,31.653929
Cassins_Sparrow,-109.17148,31.415651
Cassins_Sparrow,-99.489784,27.567345
Cassins_Sparrow,-102.891297,36.866266
Cassins_Sparrow,-86.38204,48.715954
Cassins_Sparrow,-97.4012,26.255909
Cassins_Sparrow,-97.45199,32.662933
Cassins_Sparrow,-102.95318,29.178244
Cassins_Sparrow,-99.0923,26.4924
Cassins_Sparrow,-100.68,18.386667
Cassins_Sparrow,-86.75208,41.14656
Cassins_Sparrow,-98.08641,30.387018
Cassins_Sparrow,-98.05023,31.104391
