species,longitude,latitude
Cassins_Sparrow,-100.721375,24.948357
Cassins_Sparrow,-101.72942,41.34895
Cassins_Sparrow,-101.717606,37.112694
Cassins_Sparrow,-99.37335,37.888268
Cassins_Sparrow,-106.00468,31.393795
Cassins_Sparrow,-100.22484,29.256151
Cassins_Sparrow,-101.630486,35.687557
Cassins_Sparrow,-110.66438,31.677343
Cassins_Sparrow,-97.09562,30.004902
Cassins_Sparrow,-102.74528,37.01139
Cassins_Sparrow,-104.188995,30.718172
Cassins_Sparrow,-98.85696,28.980213
Cassins_Sparrow,-97.17304,30.943827
Cassins_Sparrow,-101.77065,33.167038
Cassins_Sparrow,-99.23075,29.939247
Cassins_Sparrow,-103.18512,37.106236
Cassins_Sparrow,-99.79397,28.242395
Cassins_Sparrow,-101.050354,30.10604
Cassins_Sparrow,-99.9028,32.853058
Cassins_Sparrow,-100.33715,33.61067
Cassins_Sparrow,-98.97885,31.546183
Cassins_Sparrow,-100.26403,33.419662
Cassins_Sparrow,-99.48599,30.5995
Cassins_Sparrow,-70.079124,42.001347
Cassins_Sparrow,-99.831215,38.754486
Cassins_Sparrow,-111.047905,31.64592
Cassins_Sparrow,-99.29169,29.450361
Cassins_Sparrow,-104.747086,31.076756
Cassins_Sparrow,-109.96507,31.6643
Cassins_Sparrow,-100.5764,30.962301
Cassins_Sparrow,-102.65015,39.027122
Cassins_Sparrow,-106.37827,35.12584
Cassins_Sparrow,-100.91071,36.141064
Cassins_Sparrow,-105.45192,34.53591
Cassins_Sparrow,-109.538246,31.37021
Cassins_Sparrow,-99.34804,34.28807
Cassins_Sparrow,-99.63709,30.105865
Cassins_Sparrow,-104.58221,40.59121
Cassins_Sparrow,-103.386215,33.711758
Cassins_Sparrow,-102.70705,33.62068
Cassins_Sparrow,-104.4092,40.74089
Cassins_Sparrow,-102.53125,39.89583
Cassins_Sparrow,-96.5597,29.52552
Cassins_Sparrow,-100.08534,31.846813
Cassins_Sparrow,-107.540535,32.843826
Cassins_Sparrow,-100.74614,40.872684
Cassins_Sparrow,-104.28909,40.274418
Cassins_Sparrow,-99.81072,30.439445
Cassins_Sparrow,-98.987206,30.800419
Cassins_Sparrow,-98.44265,31.022194
Cassins_Sparrow,-105.226204,40.479305
Cassins_Sparrow,-99.25135,34.048252
Cassins_Sparrow,-100.4533,29.61154
Cassins_Sparrow,-110.339,31.91963
Cassins_Sparrow,-104.01366,38.16235
Cassins_Sparrow,-104.257744,24.063715
Cassins_Sparrow,-99.912415,31.641106
Cassins_Sparrow,-102.84027,31.32754
Cassins_Sparrow,-100.18111,33.00817
Cassins_Sparrow,-103.71264,19.28074
Cassins_Sparrow,-102.90387,38.11484
Cassins_Sparrow,-97.58769,33.821053
Cassins_Sparrow,-104.434746,24.086342
Cassins_Sparrow,-97.53456,29.893747
Cassins_Sparrow,-103.32816,30.204973
Cassins_Sparrow,-101.38195,35.385223
Cassins_Sparrow,-97.45002,25.922503
Cassins_Sparrow,-100.96469,29.348824
Cassins_Sparrow,-104.28772,30.582361
Cassins_Sparrow,-98.513214,28.236952
Cassins_Sparrow,-100.93063,32.334057
Cassins_Sparrow,-97.893074,30.337383
Cassins_Sparrow,-100.55078,31.54151
Cassins_Sparrow,-100.49941,29.329557
Cassins_Sparrow,-103.70529,32.70586
Cassins_Sparrow,-106.431854,34.953125
Cassins_Sparrow,-110.82752,31.358086
Cassins_Sparrow,-107.46805,36.146217
Cassins_Sparrow,-108.60154,32.812775
Cassins_Sparrow,-101.70387,33.875393
Cassins_Sparrow,-103.46615,29.157007
Cassins_Sparrow,-102.61101,33.240456
Cassins_Sparrow,-98.19179,26.373522
Cassins_Sparrow,-97.46331,37.804585
Cassins_Sparrow,-103.33544,30.005827
Cassins_Sparrow,-102.81142,31.618885
Cassins_Sparrow,-100.06469,25.875172
Cassins_Sparrow,-99.92841,37.898724
Cassins_Sparrow,-103.60972,38.06278
Cassins_Sparrow,-98.29875,27.381142
Cassins_Sparrow,-100.05371,38.057976
Cassins_Sparrow,-99.32739,30.657997
Cassins_Sparrow,-99.08793,27.449326
Cassins_Sparrow,-97.7278,31.11708
Cassins_Sparrow,-98.12918,26.450226
Cassins_Sparrow,-106.74094,34.66851
Cassins_Sparrow,-101.35317,29.7055
Cassins_Sparrow,-100.12569,37.446724
Cassins_Sparrow,-103.87882,33.671497
Cassins_Sparrow,-99.31538,34.932106
